Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit,Stripped Titles
3,Development FIs,Tabung Haji,"Shamsul Kamal Hussein Kamal (Chief Information Technology Officer - CISO-equivalent) [Official: tabunghaji.gov.my/peneraju-th, conf 75 - CISO-equivalent, no dedicated CISO in management team]",Syahril Nizam Abu Hasan (Chief Risk & Compliance Officer) + Mohd Hasraff Hashim (Head of Integrity & Governance) [Composite] [Official: tabunghaji.gov.my/peneraju-th],"Shamsul Bahar Shamsudin (Group Executive Director, Finance) [Official: tabunghaji.gov.my/peneraju-th]; Mustakim Mohamad (was Group Exec Dir Finance, now CEO since 6 May 2025) [News: bharian.com.my]",Syahril Nizam Abu Hasan (Chief Risk & Compliance Officer) [Official: tabunghaji.gov.my/peneraju-th],Syahril Nizam Abu Hasan (Chief Risk & Compliance Officer) [Official: tabunghaji.gov.my/peneraju-th],Shamsul Kamal Hussein Kamal (Chief Information Technology Officer) [Official: tabunghaji.gov.my/peneraju-th],Abu Bakar Baba (Group Chief Internal Auditor) [Official: tabunghaji.gov.my/peneraju-th],
2,Takaful,Takaful Am General Berhad,,"Shizal Fisham bin Ramli (Ketua Pegawai Tadbir Urus / Chief Governance Officer, Takaful Malaysia group) [Official: takaful-malaysia.com.my/tentang-kami/barisan-kepimpinan/, conf 60 - covers Governance component of GRC; Compliance separately headed by Redzuan bin Abu]","Sharmini Perampalam (EVP & Group CFO) [mnrb.com.my, HIGH-90]",,"Abd Ghafur Ahmad (SVP & Group Chief Compliance Officer) [mnrb.com.my, HIGH-90]","Aaron Loo (SVP & Group Chief Transformation Officer) [mnrb.com.my, MEDIUM-65]","Haniza Filzah Hayani Abu Haniffa (SVP & Group Chief Internal Auditor) [mnrb.com.my, HIGH-90]",
2,Takaful,Takaful IKHLAS Berhad,,"Abd Ghafur Ahmad (Senior VP & Group Chief Compliance Officer, MNRB Group) [Official: mnrb.com.my/about-us/our-leadership, conf 75 - Group Chief Compliance Officer functionally covers GRC; same person as Head of Compliance column]","Sharmini Perampalam (Executive VP and Group CFO, MNRB Group) [Official: mnrb.com.my, conf 75 - group-level]",,"Abd Ghafur Ahmad (Senior VP & Group Chief Compliance Officer, MNRB Group) [Official: mnrb.com.my, conf 75 - group-level]","Lee Kok Seong (Senior VP & Chief Information Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Haniza Filzah Hayani Abu Haniffa (Senior VP and Group Chief Internal Auditor, MNRB Group) [Official: mnrb.com.my, conf 75 - group-level]",
3,Development FIs,Tekun Nasional,,,"Hj. Aishamuddin bin Zulkefli (Timbalan Ketua Pegawai Eksekutif (Kewangan) / Deputy CEO Finance) [Official: tekun.gov.my PDF org chart, conf 90]","Mohamad Razman bin Razak (Ketua Jabatan Pengurusan Risiko / Head of Risk Management) [Official: tekun.gov.my PDF org chart, conf 90]","Jalilah Che Bidin (Ketua Jabatan Integriti & Tadbir Urus / Head of Integrity & Governance) [Official: tekun.gov.my PDF org chart, conf 90]","Hj. Muhammad Yusman bin Yusoff (Ketua Jabatan Teknologi Maklumat / Head of IT) [Official: tekun.gov.my PDF org chart, conf 90]","Md Rukemi bin Ishak (Ketua Jabatan Audit Dalam / Head of Internal Audit) [Official: tekun.gov.my PDF org chart, conf 90]",Hj
2,Insurers,Tokio Marine Life Insurance Malaysia Bhd,,,"Tham Kok Yoke (Chief Financial Officer) [Official: tokiomarine.com/my/en/life/about-us/our-board-of-directors-and-management-team.html, conf 95]","Andrew Ngou Chee Mun (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Loh Chee Hoong (Head of Compliance) [Malaysian Insurance Directory 2025/2026, conf 90]","Nicholas Tan Chin Yau (Chief Information Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Wong Kah Keong (Head of Internal Audit) [Malaysian Insurance Directory 2025/2026, conf 90]",
4,E-Money,Touch 'n Go eWallet (TNG Digital Sdn Bhd),,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role),,
4,Card Schemes,Touch n Go Visa Prepaid Card,,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role [INHERITED from TNG Digital Sdn Bhd - product brand governance]",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO [INHERITED from TNG Digital Sdn Bhd - product brand governance],"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role [INHERITED from TNG Digital Sdn Bhd - product brand governance]","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role [INHERITED from TNG Digital Sdn Bhd - product brand governance]",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role) [INHERITED from TNG Digital Sdn Bhd - product brand governance],,
3,MSBs,Touch n Go eWallet Sdn Bhd,,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role),,
4,Card Schemes,UOB Lazada Visa Card,"Tobias Gondrom (Group CISO, UOB Group) [Web search, conf 75] [INHERITED from UOB Malaysia Berhad - product brand governance]",Tan Tii Lam (CRO) + Loke Chee Keen Daniel (Compliance) [Group-level composite] [INHERITED from UOB Malaysia Berhad - product brand governance],Chang Yeong Gung (CFO) [INHERITED from UOB Malaysia Berhad - product brand governance],Tan Tii Lam (CRO) [INHERITED from UOB Malaysia Berhad - product brand governance],Loke Chee Keen Daniel (Head Compliance) [INHERITED from UOB Malaysia Berhad - product brand governance],Mohamad Fazli Bin Mohamad Sarujee (Head Technology & Operations) [INHERITED from UOB Malaysia Berhad - product brand governance],Wong See Hong Bill (Head Internal Audit) [INHERITED from UOB Malaysia Berhad - product brand governance],
1,Licensed Banks,UOB Malaysia Berhad,"Tobias Gondrom (Group CISO, UOB Group) [Web search, conf 75]",Tan Tii Lam (CRO) + Loke Chee Keen Daniel (Compliance) [Group-level composite],Chang Yeong Gung (CFO),Tan Tii Lam (CRO),Loke Chee Keen Daniel (Head Compliance),Mohamad Fazli Bin Mohamad Sarujee (Head Technology & Operations),Wong See Hong Bill (Head Internal Audit),
3,MSBs,Wallex Sdn Bhd,,,,,"Dee Patria Adithana, GRCP (Legal & Compliance Counsel, M-DAQ Global - parent) [Official: wallex.asia/en-sg/about-us + LinkedIn id.linkedin.com/in/dee-patria-adithana, conf 80 - Indonesia-based, inherited to Wallex Malaysia entity. Wallex.com DNS-fails; correct domain wallex.asia. M-DAQ HQ Singapore, PJ Malaysia office.]",,,
3,MSBs,Wise (formerly TransferWise) Malaysia Sdn Bhd,,"Jessica Winter (Chief Legal Officer / General Counsel, Wise Plc global) [Official: owners.wise.com/governance/leadership-team, conf 65 - General Counsel at UK fintechs typically oversees governance, risk, and compliance coordination; Wise Malaysia subsidiary inherits from parent]","Emmanuel Thomassin (Chief Financial Officer, Wise Plc global) [Official: owners.wise.com/governance/leadership-team, conf 95]",,"Nita Patel (Group Chief Compliance Officer, Wise Plc global) [Official: owners.wise.com/governance/leadership-team, conf 95]","Harsh Sinha (Chief Technology Officer, Wise Plc global) [Official: owners.wise.com/governance/leadership-team, conf 95]",,
3,MSBs,Xendit Technologies (Malaysia) Sdn Bhd,,,,,,"Bo Chen (Chief Technology Officer, Xendit - parent) [Official: xendit.co/en/company/, conf 80 - inherited to Malaysia entity. Xendit acquired Payex (BNM-licensed) 2023, full acquisition 2025. Malaysia Country Manager: Jayson Poon (official press release Oct 2025, conf 98, non-target). GM Malaysia: Jason Siew (press release Sep 2025, conf 98, non-target). Parent CEO: Moses Lo, COO: Tessa Wijaya (non-target).]",,
2,Insurers,Zurich Life Insurance Malaysia Berhad,,,,,,,"Onn Kien Hoe (Chairman of Audit Committee) [Official: Zurich Life Insurance Malaysia Berhad AR 2025, conf 85 — board-level oversight, not executive CAE]",
2,Takaful,Zurich Takaful Malaysia Berhad,,,,,,,"Jan Yoke Lan (Chairperson of Audit Committee) [Official: Zurich Takaful Malaysia Berhad AR 2025, conf 80 — board-level oversight, not executive CAE. Chief Internal Auditor management position referenced but not named in AR 2025.]",
6,Fintech Registered,iPay88 (M) Sdn Bhd,Alex Wah|Head of IT Cum CISO|70|https://rocketreach.co/ipay88-management_b5e52ecdf42e67ac|iPay88 CISO (RocketReach source - MEDIUM confidence),,,,,,,
3,MSBs,iPay88 (Malaysia) Sdn Bhd,Alex Wah|Head of IT Cum CISO|70|https://rocketreach.co/ipay88-management_b5e52ecdf42e67ac|iPay88 CISO (RocketReach source - MEDIUM confidence),,,,,,,
1,Licensed Banks,Bank Muamalat Malaysia Berhad,,"Nasha Phedra binti Amin (Head, Legal & Secretarial) [Official: muamalat.com.my]",Amirul Nasir Abdul Rahim (Chief Financial Officer) [Official: muamalat.com.my],Hamidi A Razak (Chief Risk Officer) [Official: muamalat.com.my],Wan Kamarudin Wan Omar (Chief Compliance Officer) [Official: muamalat.com.my],Ts. Megat Mohammad Faisal Khir Johari (Chief Technology Officer) [Official: muamalat.com.my],Faidzuel Bin Zain (Chief Internal Auditor) [Official: muamalat.com.my],
